Time,GuiPids,GuiPrivateBytes,GuiCPU,CorePids,CorePrivateBytes,CoreCPU,Ports
2026-09-06T23:57:31.2546092+08:00,[19264],[158814208],[6.28125],[432],[78368768],[10.78125],"[7890, 7891, 9090]"
2026-09-06T23:57:36.3310249+08:00,[19264],[158814208],[6.296875],[432],[78368768],[10.84375],"[7890, 7891, 9090]"
2026-09-06T23:57:41.4162824+08:00,[19264],[158814208],[6.3125],[432],[78368768],[10.890625],"[7890, 7891, 9090]"
2026-09-06T23:57:46.4667560+08:00,[19264],[158814208],[6.328125],[432],[69783552],[10.96875],"[7890, 7891, 9090]"
2026-09-06T23:57:51.5259446+08:00,[19264],[158814208],[6.34375],[432],[69783552],[10.984375],"[7890, 7891, 9090]"
2026-09-06T23:57:56.5969454+08:00,[19264],[158814208],[6.359375],[432],[70078464],[11.03125],"[7890, 7891, 9090]"
2026-09-06T23:58:01.6846896+08:00,[19264],[158785536],[6.359375],[432],[70144000],[11.046875],"[7890, 7891, 9090]"
2026-09-06T23:58:06.7353671+08:00,[19264],[158814208],[6.375],[432],[70512640],[11.140625],"[7890, 7891, 9090]"
2026-09-06T23:58:11.7972824+08:00,[19264],[158814208],[6.390625],[432],[70529024],[11.15625],"[7890, 7891, 9090]"
2026-09-06T23:58:16.8424119+08:00,[19264],[158814208],[6.40625],[432],[70766592],[11.234375],"[7890, 7891, 9090]"
2026-09-06T23:58:21.8709530+08:00,[19264],[158814208],[6.421875],[432],[70799360],[11.3125],"[7890, 7891, 9090]"
2026-09-06T23:58:26.9657767+08:00,[19264],[158814208],[6.4375],[432],[70815744],[11.40625],"[7890, 7891, 9090]"
2026-09-06T23:58:31.9975076+08:00,[19264],[158814208],[6.453125],[432],[70778880],[11.453125],"[7890, 7891, 9090]"
2026-09-06T23:58:37.0608021+08:00,[19264],[158814208],[6.46875],[432],[70778880],[11.484375],"[7890, 7891, 9090]"
2026-09-06T23:58:42.1266290+08:00,[19264],[158814208],[6.5],[432],[71360512],[11.5],"[7890, 7891, 9090]"
2026-09-06T23:58:47.2308745+08:00,[19264],[158814208],[6.515625],[432],[71442432],[11.5],"[7890, 7891, 9090]"
2026-09-06T23:58:52.3001431+08:00,[19264],[158814208],[6.53125],[432],[71712768],[11.71875],"[7890, 7891, 9090]"
2026-09-06T23:58:57.3535586+08:00,[19264],[158814208],[6.53125],[432],[71888896],[11.765625],"[7890, 7891, 9090]"
2026-09-06T23:59:02.4055351+08:00,[19264],[159870976],[6.546875],[432],[72110080],[12.015625],"[7890, 7891, 9090]"
